76.98122, 13.44222
 76.98129, 13.44307
 76.98139, 13.44358
 76.98161, 13.44467
 76.98165, 13.44516
 76.98196, 13.44583
 76.98203, 13.44596
 76.98209, 13.44618
 76.98212, 13.44629
 76.98214, 13.44645
 76.98219, 13.4468
 76.98225, 13.44724
 76.98229, 13.44758
 76.98219, 13.45105
 76.98218, 13.45216
 76.98232, 13.45286
 76.98248, 13.45369
 76.98275, 13.45507
 76.98288, 13.45578
 76.98295, 13.45611
 76.98295, 13.45615
 76.98299, 13.45632
 76.98315, 13.45664
 76.98451, 13.45776
 76.98561, 13.45867
 76.98577, 13.45889
 76.98577, 13.45914
 76.98552, 13.4596
 76.98553, 13.45989
 76.98588, 13.46151
 76.98593, 13.46209
 76.98622, 13.4625
 76.98627, 13.46264
 76.9866, 13.46449
 76.98675, 13.46536
 76.98686, 13.46564
 76.98742, 13.46649
 76.98851, 13.4681
 76.98857, 13.46826
 76.98865, 13.46848
 76.98876, 13.46884
 76.9888, 13.46898
 76.98933, 13.47023
 76.99033, 13.47227
 76.99085, 13.47326
 76.99091, 13.47337
 76.99156, 13.47459
 76.99177, 13.47515
 76.99196, 13.47564
 76.9921, 13.47603
 76.99235, 13.47682
 76.9925, 13.47715
 76.99262, 13.47733
 76.99276, 13.4775
 76.99306, 13.47778
 76.99322, 13.47789
 76.99343, 13.47796
 76.99351, 13.47801
 76.99367, 13.47821
 76.99371, 13.47831
 76.99378, 13.4784
 76.99412, 13.47877
 76.99425, 13.47893
 76.99435, 13.47907
 76.99457, 13.47942
 76.99467, 13.4796
 76.99486, 13.48003
 76.99488, 13.48005
 76.99489, 13.48019
 76.99488, 13.48031
 76.99488, 13.4805
 76.99489, 13.4806
 76.99497, 13.48105
 76.99502, 13.48123
 76.99509, 13.48127
 76.99548, 13.4814
 76.99674, 13.48167
 76.99686, 13.48171
 76.99729, 13.48194
 76.99771, 13.48214
 76.99811, 13.48231
 76.99898, 13.48269
 77.00013, 13.48318
 77.00027, 13.48321
 77.00085, 13.48333
 77.00095, 13.48339
 77.00097, 13.48342
 77.00112, 13.48362
 77.00121, 13.48366
 77.00186, 13.48372
 77.00252, 13.48383
 77.00415, 13.48402
 77.00493, 13.48412
 77.00636, 13.48438
 77.00714, 13.48452
 77.00748, 13.48466
 77.00822, 13.48499
 77.00905, 13.48541
 77.01049, 13.48617
 77.01075, 13.48629
 77.01095, 13.48632
 77.01389, 13.48627
 77.01431, 13.48641
 77.01526, 13.48673
 77.01584, 13.48712
 77.01639, 13.48759
 77.01737, 13.48851
 77.01746, 13.48859
 77.01785, 13.48896
 77.01797, 13.48903
 77.01863, 13.48928
 77.02043, 13.49009
 77.02034, 13.49012
